date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T10:15,15.3
2026-06-25,2026-06-25T12:00,16.6,61.9
2026-06-25,2026-06-25T16:15,16.2,61.2
2026-06-26,2026-06-26T03:15,11.5,52.7
2026-06-26,2026-06-26T07:30,14.2,57.6
2026-06-26,2026-06-26T10:15,17.1,62.8
2026-06-26,2026-06-26T11:45,19.2,66.6
2026-06-26,2026-06-26T11:45,19.2,66.6
2026-06-26,2026-06-26T16:15,23.5,74.3
2026-06-27,2026-06-27T02:30,14.8,58.6
2026-06-27,2026-06-27T06:45,15.7,60.3
2026-06-27,2026-06-27T11:00,19.3,66.7
2026-06-27,2026-06-27T16:00,21.9,71.4
2026-06-28,2026-06-28T03:00,11.0,51.8
2026-06-28,2026-06-28T07:00,12.4,54.3
2026-06-28,2026-06-28T11:00,17.7,63.9
2026-06-28,2026-06-28T16:00,26.1,79.0
2026-06-29,2026-06-29T05:00,12.2,54.0
2026-06-29,2026-06-29T12:00,16.1,61.0
2026-06-29,2026-06-29T16:00,18.2,64.8
2026-06-30,2026-06-30T03:30,14.1,57.4
2026-06-30,2026-06-30T07:30,14.0,57.2
2026-06-30,2026-06-30T12:00,14.9,58.8
2026-06-30,2026-06-30T16:15,14.9,58.8
2026-07-01,2026-07-01T03:45,12.5,54.5
2026-07-01,2026-07-01T07:45,13.4,56.1
2026-07-01,2026-07-01T12:00,14.7,58.5
2026-07-01,2026-07-01T16:15,15.2,59.4
2026-07-02,2026-07-02T03:00,13.6,56.5
2026-07-02,2026-07-02T07:15,13.7,56.7
2026-07-02,2026-07-02T11:30,15.4,59.7
2026-07-02,2026-07-02T16:15,16.7,62.1
2026-07-03,2026-07-03T03:00,13.0,55.4
2026-07-03,2026-07-03T11:15,17.4,63.3
2026-07-03,2026-07-03T16:00,16.9,62.4
2026-07-04,2026-07-04T02:15,13.3,55.9
2026-07-04,2026-07-04T06:45,12.8,55.0
2026-07-04,2026-07-04T11:00,16.3,61.3
2026-07-04,2026-07-04T16:00,18.9,66.0
2026-07-05,2026-07-05T02:45,13.1,55.6
2026-07-05,2026-07-05T06:45,13.3,55.9
2026-07-05,2026-07-05T11:00,15.5,59.9
2026-07-05,2026-07-05T16:00,18.7,65.7
2026-07-06,2026-07-06T04:30,13.9,57.0
2026-07-06,2026-07-06T08:45,15.3,59.5
2026-07-06,2026-07-06T12:00,16.7,62.1
2026-07-06,2026-07-06T16:00,17.6,63.7
2026-07-07,2026-07-07T03:15,13.6,56.5
2026-07-07,2026-07-07T07:45,13.7,56.7
2026-07-07,2026-07-07T12:00,17.7,63.9
2026-07-07,2026-07-07T16:00,21.9,71.4
2026-07-08,2026-07-08T02:30,13.7,56.7
2026-07-08,2026-07-08T07:30,13.4,56.1
2026-07-08,2026-07-08T11:15,17.0,62.6
2026-07-08,2026-07-08T16:15,22.3,72.1
2026-07-09,2026-07-09T03:15,13.7,56.7
2026-07-09,2026-07-09T08:15,13.8,56.8
2026-07-09,2026-07-09T11:45,16.7,62.1
2026-07-09,2026-07-09T16:15,22.5,72.5
2026-07-10,2026-07-10T03:15,13.5,56.3
2026-07-10,2026-07-10T07:30,13.1,55.6
2026-07-10,2026-07-10T11:15,17.1,62.8
2026-07-10,2026-07-10T16:00,21.0,69.8
2026-07-11,2026-07-11T01:45,14.2,57.6
2026-07-11,2026-07-11T06:30,11.8,53.2
2026-07-11,2026-07-11T10:45,16.9,62.4
2026-07-11,2026-07-11T15:45,23.0,73.4
2026-07-12,2026-07-12T02:00,13.5,56.3
