date,max_temp,min_temp
2021-08-01,20.7,13.1
2021-08-02,24.5,12.3
2021-08-03,24.5,13.2
2021-08-04,24.3,13.1
2021-08-05,26.7,13.4
2021-08-06,27.0,13.6
2021-08-07,21.1,14.6
2021-08-08,20.7,14.3
2021-08-09,21.3,14.2
2021-08-10,23.1,13.5
2021-08-11,24.0,15.4
2021-08-12,27.8,16.5
2021-08-13,27.5,15.6
2021-08-14,24.3,15.8
2022-08-01,26.7,15.1
2022-08-02,24.4,16.4
2022-08-03,28.1,15.3
2022-08-04,21.7,15.0
2022-08-05,21.1,15.0
2022-08-06,23.6,15.4
2022-08-07,26.3,14.8
2022-08-08,28.2,14.0
2022-08-09,24.8,15.3
2022-08-10,27.1,13.3
2022-08-11,28.6,15.3
2022-08-12,29.4,14.1
2022-08-13,29.0,14.1
2022-08-14,26.4,14.4
2023-08-01,20.9,12.9
2023-08-02,21.9,12.8
2023-08-03,25.5,12.9
2023-08-04,24.2,14.0
2023-08-05,26.9,13.0
2023-08-06,29.6,13.1
2023-08-07,23.9,13.6
2023-08-08,19.3,12.8
2023-08-09,20.3,13.6
2023-08-10,19.9,12.9
2023-08-11,22.8,14.7
2023-08-12,22.5,13.5
2023-08-13,26.0,14.4
2023-08-14,25.6,15.4
2024-08-01,26.5,14.4
2024-08-02,27.3,15.2
2024-08-03,27.5,16.4
2024-08-04,26.4,14.4
2024-08-05,27.2,13.5
2024-08-06,29.0,15.0
2024-08-07,25.5,15.1
2024-08-08,25.5,13.9
2024-08-09,26.0,13.8
2024-08-10,27.8,14.4
2024-08-11,25.7,14.6
2024-08-12,25.8,13.0
2024-08-13,26.8,12.4
2024-08-14,25.7,12.5
2025-08-01,22.4,13.9
2025-08-02,24.6,13.3
2025-08-03,28.5,13.3
2025-08-04,29.1,12.2
2025-08-05,25.5,12.6
2025-08-06,27.3,13.9
2025-08-07,23.7,14.9
2025-08-08,23.8,13.5
2025-08-09,22.2,13.7
2025-08-10,23.1,13.8
2025-08-11,24.6,13.7
2025-08-12,24.2,13.7
2025-08-13,24.7,13.8
2025-08-14,21.4,14.1
